name	rating	lat	lon	idx	address
Школа № 1955	47	55.880122	37.691316	191	Россия, Москва, 1-я Напрудная улица, 13
Школа № 2109	49	55.501994	37.59254	192	Россия, Москва, улица Брусилова, 29, корп. 1
Школа № 2109	49	55.502464128485485	37.59617044437775	193	Россия, Москва, улица Маршала Савицкого, 26, корп. 4
Школа № 2109	49	55.502786285601665	37.59050720106953	194	Россия, Москва, улица Маршала Савицкого, 18, корп. 3
Школа № 2109	49	55.498994	37.579427	195	Россия, Москва, Юго-Западный административный округ, район Южное Бутово, деревня Захарьино, Полевая улица, 20
Школа № 2109	49	55.502984	37.578787	196	Россия, Москва, улица Маршала Савицкого, 6, корп. 4
ГАОУ школа № 1518	50	55.80377	37.635112	197	Россия, Москва, проспект Мира, 87
ГАОУ школа № 1518	50	55.801994	37.632056	198	Россия, Москва, Мурманский проезд, 4
Школа № 2036	51	55.703980005	37.864790993	199	Россия, Москва, Златоустовская улица, 3, стр. 5
Школа № 2036	51	55.71001	37.884653	200	Россия, Москва, улица Дмитриевского, 5
Школа № 2036	51	55.710561	37.886906	201	Россия, Москва, улица Татьяны Макаровой, 2
Школа № 2036	51	55.715331	37.889712	202	Россия, Москва, улица Руднёвка, 10
Школа № 1574	52	55.779733	37.596959	203	Россия, Москва, 1-я Миусская улица, 4
Школа № 1574	52	55.774577	37.590551	204	Россия, Москва, 2-я Тверская-Ямская улица, 46, стр. 1
Школа № 1574	52	55.779887	37.588369	205	Россия, Москва, 4-й Лесной переулок, 6
Школа № 1574	52	55.769255187	37.600589708	206	Россия, Москва, Старопименовский переулок, 5
Школа № 117	53	55.674192	37.528207	207	Россия, Москва, Ленинский проспект, 93А
Школа № 117	53	55.674816	37.528918	208	Россия, Москва, Ленинский проспект, 93Б
Школа № 117	53	55.672092	37.533718	209	Россия, Москва, улица Академика Пилюгина, 14А
Школа № 117	53	55.669527	37.534406	210	Россия, Москва, улица Академика Пилюгина, 18, корп. 1
Школа № 117	53	55.67467	37.537234	211	Россия, Москва, улица Гарибальди, 8, корп. 1
Школа № 1359	54	55.698884	37.840348	212	Россия, Москва, Привольная улица, 17, корп. 1
Школа № 1359	54	55.701392	37.845302	213	Россия, Москва, Пронская улица, 4, корп. 1
Школа № 1359	54	55.69708960388261	37.85485531779094	214	Россия, Москва, Лермонтовский проспект, 14, корп. 2
Школа № 1359	54	55.700118	37.849098	215	Россия, Москва, Хвалынский бульвар, 4, корп. 4
Школа № 1573	55	55.906716	37.552919	216	Россия, Москва, Псковская улица, 11
Школа № 1573	55	55.90464	37.575929	217	Россия, Москва, Абрамцевская улица, 24, корп. 2
Школа № 1573	55	55.903691	37.554626	218	Россия, Москва, Псковская улица, 12к3
Школа № 1538	56	55.841544	37.388811	219	Россия, Москва, Пятницкое шоссе, 16, корп. 5
Школа № 1538	56	55.839719	37.381423	220	Россия, Москва, Новотушинский проезд, 8к2
Школа № 1538	56	55.841597	37.37515	221	Россия, Москва, Митинская улица, вл14
Школа № 1538	56	55.839809	37.381498	222	Россия, Москва, Новотушинский проезд, 8, корп. 2
Школа № 1542	57	55.645959699985	37.401182799847845	223	Россия, Москва, улица Щорса, 6к1
Школа № 1542	57	55.648625617014766	37.383240224536806	224	Россия, Москва, Производственная улица, 3, корп. 2
Школа № 1542	57	55.642172	37.408029	225	Россия, Москва, улица Авиаторов, 28
Школа № 1542	57	55.646884	37.3997	226	Россия, Москва, улица Авиаторов, 8, корп. 2
Школа № 2098 имени Героя Советского Союза Л.М. Доватора	58	55.878588	37.510501	227	Россия, Москва, Базовская улица, 15, корп. 13
Школа № 2098 имени Героя Советского Союза Л.М. Доватора	58	55.874508	37.520662	228	Россия, Москва, Талдомская улица, 13А
Школа № 2098 имени Героя Советского Союза Л.М. Доватора	58	55.879185	37.514159	229	Россия, Москва, Базовская улица, 20А, стр. 2
Школа № 2098 имени Героя Советского Союза Л.М. Доватора	58	55.879185	37.514159	230	Россия, Москва, Базовская улица, 20А, стр. 1
Школа № 2098 имени Героя Советского Союза Л.М. Доватора	58	55.874592686	37.519444471	231	Россия, Москва, Ангарская улица, 22А
Школа № 1158	59	55.629432	37.594563	232	Россия, Москва, Сумской проезд, 21А
Школа № 1158	59	55.635251	37.596053	233	Россия, Москва, Южный административный округ, район Чертаново Северное, микрорайон Северное Чертаново, к809
Школа № 1158	59	55.633582	37.594293	234	Россия, Москва, Южный административный округ, район Чертаново Северное, микрорайон Северное Чертаново, 810А
Школа № 1158	59	55.631648	37.5955	235	Россия, Москва, Сумской проезд, 19А
Школа № 1158	59	55.634516177	37.593530415	236	Россия, Москва, Южный административный округ, район Чертаново Северное, микрорайон Северное Чертаново, к810
Школа № 1558 имени Росалии де Кастро	60	55.866303	37.657266	237	Россия, Москва, Печорская улица, 18
Школа № 1558 имени Росалии де Кастро	60	55.868193	37.654068	238	Россия, Москва, Чукотский проезд, 6
Школа № 1558 имени Росалии де Кастро	60	55.868428	37.660525	239	Россия, Москва, Ленская улица, 24
Школа № 2026	61	55.720789	37.894869	240	Россия, Москва, Лухмановская улица, 13Б
Школа № 2026	61	55.721001	37.906873	241	Россия, Москва, Лухмановская улица, 26А
Школа № 2026	61	55.717579	37.883646	242	Россия, Москва, улица Медведева, 6
Школа № 2070	62	55.532184	37.450511	243	Россия, Москва, посёлок подсобного хозяйства Воскресенское, 36А
Школа № 2070	62	55.56752	37.494244	244	Россия, Москва, посёлок Коммунарка, улица Липовый Парк, 5А
Школа № 2070	62	55.5719	37.480675	245	Россия, Москва, посёлок Коммунарка, Фитарёвская улица, 9Б
Школа № 2070	62	55.543026	37.495547	246	Россия, Москва, поселение Сосенское, улица Александры Монаховой, 107к3
Школа № 2070	62	55.532184	37.450511	247	Россия, Москва, посёлок подсобного хозяйства Воскресенское, 36А
Школа № 2070	62	55.620636	37.476109	248	Россия, Москва, посёлок завода Мосрентген, 38
Школа № 45	63	55.68218010549423	37.59723655952444	249	Россия, Москва, Севастопольский проспект, 20А
Школа № 45	63	55.692032	37.585934	250	Россия, Москва, улица Шверника, 10, стр. 1
Школа № 45	63	55.690336	37.584561	251	Россия, Москва, улица Винокурова, 3Б
Школа № 45	63	55.685015	37.598458	252	Россия, Москва, улица Винокурова, 19
Школа № 45	63	55.68588184694034	37.58657377182708	253	Россия, Москва, Новочерёмушкинская улица, 11А
Школа № 45	63	55.69169287954179	37.5797176355819	254	Москва, ул. Гримау, 6а
Школа № 45	63	55.69087	37.579934	255	Россия, Москва, улица Гримау, 8
Школа № 1528	64	55.99555	37.178916	256	Россия, Москва, Зеленоград, к1122
Школа № 1528	64	55.973097	37.202474	257	Россия, Москва, Зеленоград, к864
Школа № 1528	64	55.978507	37.183002	258	Россия, Москва, Зеленоград, к844
Школа № 1528	64	55.980037	37.182036	259	Россия, Москва, Зеленоград, к822
Школа № 1528	64	55.978164	37.183495	260	Россия, Москва, Зеленоград, к844с1
Школа № 1528	64	55.976217	37.190761	261	Россия, Москва, Зеленоград, к817
Школа № 1528	64	55.977106	37.190848	262	Россия, Москва, Зеленоград, к818
Лицей Города Троицка	65	55.475158	37.310501	263	Россия, Москва, Троицк, Центральная улица, 1А
Лицей Города Троицка	65	55.475422	37.300687	264	Россия, Москва, Троицк, Школьная улица, 10А
Лицей Города Троицка	65	55.48733	37.300304	265	Россия, Москва, Троицк, микрорайон В, 26
Школа № 218	66	55.808679	37.560781	266	Россия, Москва, улица Вучетича, 6
Школа № 218	66	55.812053	37.575039	267	Россия, Москва, Дмитровское шоссе, 5А
Школа № 1251 имени Генерала Шарля де Голля	67	55.799809	37.508337	268	Москва, Песчаный переулок, 6
Школа № 1251 имени Генерала Шарля де Голля	67	55.798545	37.504965	269	Россия, Москва, улица Алабяна, 15
Школа № 1251 имени Генерала Шарля де Голля	67	55.795975	37.505651	270	Россия, Москва, улица Сальвадора Альенде, 6
Школа № 1251 имени Генерала Шарля де Голля	67	55.794187	37.506777	271	Россия, Москва, улица Сальвадора Альенде, 9
Школа № 1234	68	55.75349998505064	37.590118391600974	272	Россия, Москва, улица Большая Молчановка, 26-28
Школа № 1234	68	55.76535	37.601113	273	Россия, Москва, Малый Палашёвский переулок, 3
Школа № 1234	68	55.756209	37.585295	274	Россия, Москва, Новинский бульвар, 20, стр. 1
Школа № 1234	68	55.751249	37.580912	275	Россия, город Москва, бульвар Новинский, 3с2
Школа № 192	69	55.706779	37.574886	276	Россия, Москва, Ленинский проспект, 34А
Школа № 192	69	55.706623	37.583713	277	Россия, Москва, Ленинский проспект, 39А
Школа № 192	69	55.704808	37.577947	278	Россия, Москва, Ленинский проспект, 43А
Школа № 2097	70	55.847459	37.421291	279	Россия, Москва, Туристская улица, 11, корп. 2
Школа № 2097	70	55.848708	37.406477	280	Россия, Москва, бульвар Яна Райниса, 47, корп. 2
Школа № 2097	70	55.847060460243064	37.42966651532603	281	Россия, Москва, Аэродромная улица, 9
Школа № 2097	70	55.848438083261684	37.43775307206789	282	Россия, Москва, Сходненская улица, 35
Школа № 2097	70	55.839064	37.403905	283	Россия, Москва, улица Василия Петушкова, 23, корп. 1
Школа № 2097	70	55.84533	37.401172	284	Москва, Светлогорский пр-д, 7к1
Гбпоу тк № 21	71	55.733421977144886	37.83628455300911	285	Москва, Реутовская ул., 22Б
Гбпоу тк № 21	71	55.817297856	37.728806223	286	Россия, Москва, 5-й проезд Подбельского, 2
